correct.or.not.1;correct.or.not.2;delay;b1;b2;
c;c;0;snort;repeat;
c;c;3;chin;repeat;
c;c;6;wave;wave;
c;c;6;snort;repeat;
c;c;9;wave;repeat;anticipating, longer delay to wait for her to stop
c;c;12;wave;chin;anticipating 
c;c;12;chin;repeat;anticipating 
c;snort;15;wave;repeat;biting after incorrect repsonse
c;c;12;chin;snort;anticipating 
c;c;12;snort;repeat;
c;c;15;wave;repeat;anticipating 
c;c;18;snort;wave;
c;c;18;snort;chin;anticipating and biting before delay
c;c;18;chin;snort;anticipating 
c;snort;18;chin;repeat;anticipating 
