Animal;Session;Behaviour_1;Offered_1;Behaviour_2;Offered_2
Mr Huang;1;spin;spin;fluff;fluff
Mr Huang;1;wings;wings;repeat;wings
Mr Huang;1;leg;fluff;repeat;wrong
Mr Huang;1;repeat;wrong;spin;spin
Mr Huang;1;wings;wings;fluff;fluff
Mr Huang;1;repeat;fluff;repeat;fluff
Mr Huang;1;spin;spin;repeat;spin
Mr Huang;1;leg;leg;fluff;fluff
Mr Huang;1;leg;leg;wings;wings
Mr Huang;1;repeat;wings;repeat;wings
Mr Huang;1;spin;spin;repeat;spin
Mr Huang;1;repeat;spin;wings;wings
Mr Huang;1;leg;leg;repeat;fluff
Mr Huang;1;repeat;wings;spin;spin
Mr Huang;1;leg;leg;wings;wings
Mr Huang;1;repeat;wings;repeat;wings
Mr Huang;1;fluff;fluff;repeat;wings
Mr Huang;1;leg;leg;fluff;fluff
Mr Huang;1;wings;wings;spin;spin
Mr Huang;1;repeat;spin;repeat;spin
Mr Huang;1;fluff;fluff;repeat;fluff
Mr Huang;1;repeat;fluff;spin;spin
Mr Huang;1;wings;wings;leg;leg
Mr Huang;1;fluff;fluff;leg;leg
Mr Huang;1;repeat;fluff;wings;wings
Mr Huang;1;fluff;fluff;spin;spin
Mr Huang;2;leg;leg;fluff;fluff
Mr Huang;2;spin;spin;repeat;spin
Mr Huang;2;fluff;fluff;repeat;fluff
Mr Huang;2;repeat;spin;wings;wings
Mr Huang;2;spin;spin;repeat;spin
Mr Huang;2;repeat;spin;leg;leg
Mr Huang;2;spin;spin;leg;leg
Mr Huang;2;repeat;leg;wings;wings
Mr Huang;2;repeat;wings;repeat;wings
Mr Huang;2;spin;wings;fluff;fluff
Mr Huang;2;repeat;fluff;wings;wings
Mr Huang;2;leg;leg;fluff;fluff
Mr Huang;2;fluff;fluff;repeat;fluff
Mr Huang;2;repeat;fluff;spin;spin
Mr Huang;2;leg;leg;repeat;leg
Mr Huang;2;repeat;leg;wings;wings
Mr Huang;2;wings;wings;repeat;wings
Mr Huang;2;repeat;fluff;leg;leg
Mr Huang;2;spin;spin;leg;leg
Mr Huang;2;repeat;leg;repeat;fluff
Mr Huang;2;wings;wings;leg;fluff
Mr Huang;2;wings;wings;repeat;wings
Mr Huang;2;wings;wings;spin;spin
Mr Huang;2;repeat;spin;repeat;spin
Mr Huang;2;fluff;fluff;fluff;fluff
Mr Huang;2;spin;spin;fluff;fluff
Mr Huang;3;spin;spin;leg;leg
Mr Huang;3;spin;spin;leg;leg
Mr Huang;3;repeat;leg;repeat;leg
Mr Huang;3;wings;wings;fluff;fluff
Mr Huang;3;leg;leg;spin;spin
Mr Huang;3;repeat;spin;fluff;fluff
Mr Huang;3;repeat;leg;repeat;spin
Mr Huang;3;spin;spin;repeat;spin
Mr Huang;3;repeat;spin;wings;wings
Mr Huang;3;wings;wings;repeat;wings
Mr Huang;3;fluff;fluff;spin;spin
Mr Huang;3;wings;wings;fluff;fluff
Mr Huang;3;repeat;fluff;repeat;fluff
Mr Huang;3;wings;wings;leg;leg
Mr Huang;3;repeat;leg;repeat;fluff
Mr Huang;3;fluff;fluff;leg;leg
Mr Huang;3;leg;leg;repeat;wings
Mr Huang;3;spin;spin;fluff;fluff
Mr Huang;3;wings;wings;repeat;wings
Mr Huang;3;repeat;wings;spin;spin
Mr Huang;3;repeat;spin;repeat;wings
Mr Huang;3;leg;leg;fluff;fluff
Mr Huang;3;fluff;fluff;repeat;wings
Mr Huang;3;wings;wings;repeat;wings
Mr Huang;3;repeat;wings;leg;leg
Mr Huang;3;wings;wings;spin;wings
Mr Huang;4;spin;spin;leg;leg
Mr Huang;4;fluff;fluff;repeat;leg
Mr Huang;4;repeat;leg;leg;leg
Mr Huang;4;wings;wings;repeat;wings
Mr Huang;4;leg;leg;spin;spin
Mr Huang;4;repeat;spin;repeat;spin
Mr Huang;4;fluff;fluff;wings;wings
Mr Huang;4;spin;wings;leg;leg
Mr Huang;4;repeat;leg;fluff;fluff
Mr Huang;4;spin;spin;repeat;spin
Mr Huang;4;repeat;fluff;fluff;fluff
Mr Huang;4;spin;spin;wings;wings
Mr Huang;4;repeat;wings;repeat;wings
Mr Huang;4;spin;spin;wings;wings
Mr Huang;4;fluff;fluff;repeat;wings
Mr Huang;4;wings;wings;leg;leg
Mr Huang;4;repeat;leg;repeat;leg
Mr Huang;4;wings;wings;fluff;fluff
Mr Huang;4;repeat;fluff;repeat;leg
Mr Huang;4;wings;wings;spin;spin
Mr Huang;4;repeat;spin;wings;wings
Mr Huang;4;repeat;fluff;repeat;leg
Mr Huang;4;leg;leg;fluff;fluff
Mr Huang;4;leg;leg;repeat;leg
Mr Huang;4;repeat;leg;spin;spin
Mr Huang;4;fluff;fluff;leg;leg
Mr Huang;5;wings;wings;leg;leg
Mr Huang;5;leg;leg;repeat;leg
Mr Huang;5;fluff;fluff;repeat;leg
Mr Huang;5;repeat;leg+wings;wings;wings
Mr Huang;5;leg;leg;spin;spin
Mr Huang;5;fluff;fluff;wings;wings
Mr Huang;5;repeat;wings;repeat;wings
Mr Huang;5;leg;leg;fluff;fluff
Mr Huang;5;wings;wings;spin;spin
Mr Huang;5;repeat;spin;repeat;spin
Mr Huang;5;wings;wings;wings;wings
Mr Huang;5;repeat;wings;spin;spin
Mr Huang;5;fluff;fluff;repeat;fluff
Mr Huang;5;repeat;fluff;leg;leg
Mr Huang;5;spin;spin;repeat;spin
Mr Huang;5;leg;leg;repeat;leg
Mr Huang;5;repeat;spin;fluff;fluff
Mr Huang;5;leg;leg;repeat;leg
Mr Huang;5;repeat;leg;wings;wings
Mr Huang;5;spin;spin;fluff;fluff
Mr Huang;5;repeat;fluff;spin;spin
Mr Huang;5;fluff;fluff;fluff;fluff
Mr Huang;5;spin;spin;repeat;spin
Mr Huang;5;repeat;spin;leg;leg
Mr Huang;5;wings;wings;repeat;wings
Mr Huang;5;repeat;wings;spin;spin
Mr Huang;6;spin;spin;fluff;fluff
Mr Huang;6;wings;wings;leg;leg
Mr Huang;6;leg;leg;repeat;leg
Mr Huang;6;fluff;fluff;wings;wings
Mr Huang;6;wings;wings;repeat;wings
Mr Huang;6;repeat;wings;spin;spin
Mr Huang;6;repeat;spin;spin;spin
Mr Huang;6;leg;leg;repeat;leg
Mr Huang;6;repeat;leg;spin;spin
Mr Huang;6;spin;spin;repeat;fluff
Mr Huang;6;repeat;spin;fluff;fluff
Mr Huang;6;fluff;fluff;repeat;fluff
Mr Huang;6;leg;leg;repeat;fluff
Mr Huang;6;repeat;spin;fluff;fluff
Mr Huang;6;spin;spin;leg;leg
Mr Huang;6;wings;wings;repeat;wings
Mr Huang;6;repeat;wings;fluff;fluff
Mr Huang;6;repeat;fluff;repeat;fluff
Mr Huang;6;leg;leg;leg;leg
Mr Huang;6;fluff;fluff;repeat;leg
Mr Huang;6;repeat;fluff;leg;leg
Mr Huang;6;spin;spin;repeat;spin
Mr Huang;6;repeat;fluff;wings;wings
Mr Huang;6;wings;wings;spin;spin
Mr Huang;6;wings;wings;repeat;wings
Mr Huang;6;fluff;fluff;wings;wings
Charlie;1;spin;spin;fluff;fluff
Charlie;1;wings;wings;repeat;wings
Charlie;1;leg;leg;repeat;leg
Charlie;1;repeat;leg;spin;spin
Charlie;1;wings;wings;fluff;fluff
Charlie;1;repeat;leg;repeat;no
Charlie;1;spin;spin;repeat;spin
Charlie;1;leg;leg;fluff;fluff
Charlie;1;leg;leg;wings;wings
Charlie;1;repeat;wings;repeat;wings
Charlie;1;spin;spin;repeat;spin
Charlie;1;repeat;spin;wings;wings
Charlie;1;leg;leg;repeat;leg
Charlie;1;repeat;wings;spin;spin
Charlie;1;leg;leg;wings;wings
Charlie;1;repeat;spin;repeat;spin
Charlie;1;fluff;fluff;repeat;spin
Charlie;1;leg;leg;fluff;fluff
Charlie;1;wings;wings;spin;spin
Charlie;1;repeat;spin;repeat;spin
Charlie;1;fluff;fluff;repeat;leg
Charlie;1;repeat;no;spin;spin
Charlie;1;wings;wings;leg;leg
Charlie;1;fluff;fluff;leg;leg
Charlie;1;repeat;leg;wings;wings
Charlie;1;fluff;wings;spin;spin
